timestamp,solar_radiation_w_m2,ambient_temp_c,wind_speed_m_s
2026-08-10 10:00:00,729.55,27.22,0.85
2026-08-10 11:00:00,828.11,28.62,1.73
2026-08-10 12:00:00,884.31,29.51,3.0
2026-08-10 13:00:00,840.02,32.01,3.72
2026-08-10 14:00:00,743.57,30.43,2.48
2026-08-10 15:00:00,625.95,30.32,3.59
2026-08-10 16:00:00,410.67,31.18,3.9
2026-08-10 17:00:00,251.12,29.79,3.18
2026-08-10 18:00:00,0.0,28.89,3.95
2026-08-10 19:00:00,0.0,28.61,2.39
2026-08-10 20:00:00,0.0,27.25,5.13
2026-08-10 21:00:00,0.0,25.33,5.75
2026-08-10 22:00:00,0.0,22.83,2.01
2026-08-10 23:00:00,0.0,20.58,5.3
